income	gender	weight
34000	2	-5
26000	2	130
-4	1	145
30000	1	180
4000	2	130
27000	2	200
15000	1	150
15000	1	160
19200	1	170
500	2	-2
146002	1	143
36000	1	183
-4	1	195
-4	1	180
40000	2	150
-4	2	143
400	2	140
-5	2	215
-5	2	-5
50000	2	115
3000	2	150
146002	2	105
42000	1	210
25000	1	270
-2	2	-2
-5	1	-5
50000	2	140
-4	2	-5
44000	2	140
10000	1	208
65000	1	195
50000	1	210
75000	1	170
146002	1	292
0	2	110
52000	1	190
-5	1	120
65000	1	165
-5	1	195
-5	1	-5
-4	1	-5
34000	1	160
-4	2	168
-2	2	110
49000	1	180
-2	2	120
-4	2	158
39000	1	265
33000	2	120
-4	1	135
65000	1	145
31054	1	-5
18000	2	120
-5	1	-5
26000	1	-5
-5	1	165
-5	2	-5
60000	1	195
-4	1	-5
-5	2	138
-4	2	15
-5	1	150
70000	1	190
60000	1	160
30000	1	155
30000	2	115
30000	1	139
25000	1	300
15000	2	221
-5	2	140
46368	2	155
42000	2	120
14000	1	300
31000	2	180
-5	1	-5
-4	1	168
0	1	190
-4	2	130
45000	2	190
-5	2	-5
2400	2	210
-4	2	98
-5	2	-5
-5	2	-5
60000	1	180
60000	2	135
32000	1	168
-4	2	135
16640	2	150
32000	1	190
-4	2	180
-4	2	189
400	1	180
-4	2	155
32000	1	170
54000	2	200
25000	2	140
-5	1	140
20000	1	200
36000	1	220
45000	2	170
-5	2	115
-5	1	165
34000	2	134
25000	1	210
45000	1	190
-5	1	-5
43000	1	-5
-5	2	199
70000	1	210
-4	2	134
29000	1	155
-4	2	170
13000	1	215
71000	1	220
-4	2	100
73000	1	155
146002	1	250
65000	2	-5
68000	2	-5
-5	2	-5
22000	2	133
25000	1	-5
30000	2	140
55000	1	140
-2	2	150
72000	1	210
34500	2	-5
30000	1	195
78000	1	122
-5	1	-5
-5	1	180
-5	1	-5
7000	1	130
146002	1	235
63000	1	180
20000	2	102
-5	2	-5
-4	2	115
38000	1	205
46000	2	150
-5	2	170
27000	1	135
-5	1	240
-4	2	150
20000	1	160
15000	2	145
40000	1	125
42000	1	200
42000	1	150
20000	1	209
-5	1	-5
90000	2	140
45000	2	138
68000	2	130
45000	1	195
45000	1	260
43000	1	180
15000	2	180
80000	1	219
27000	2	156
-5	2	-5
-4	2	160
12000	2	195
-5	1	120
34000	2	196
-4	1	235
7200	2	110
-5	2	159
-5	1	170
4000	2	160
-2	1	143
6500	2	150
36000	1	210
65000	1	197
16000	2	175
32000	1	195
42000	1	272
25000	1	182
24000	2	130
30000	1	150
-5	1	140
46000	1	160
-5	1	140
-5	2	-5
60000	1	205
-4	2	150
-4	1	280
31000	1	145
24000	2	165
-5	2	130
10000	2	130
-4	1	155
-5	2	120
-5	2	130
10000	2	-1
-4	2	176
-5	1	-5
-5	1	-5
4000	2	160
30000	1	152
31000	2	145
85000	1	-5
2010	1	165
35000	1	175
65000	1	280
28000	1	235
3500	2	185
32000	1	205
50000	1	160
-5	1	160
146002	2	145
75000	1	190
4000	2	-1
22000	2	142
28000	1	210
25000	2	145
146002	1	206
-5	2	-5
-5	2	-5
70000	2	-5
40000	2	-5
-5	2	140
45000	1	200
-2	1	130
2700	2	96
27000	2	140
35000	2	180
24000	2	145
-5	1	162
-5	1	-5
61000	1	150
90000	1	170
-5	1	200
-1	2	127
100	2	142
-4	1	210
-4	2	213
-4	1	160
48000	1	267
55000	1	175
-5	2	138
-5	2	200
70000	2	-5
-5	1	175
45000	1	280
-5	2	117
-4	1	-5
46500	2	-5
20000	1	145
-4	1	153
48000	1	175
-5	1	-5
-5	2	115
-2	1	170
48000	2	160
-2	2	-5
4433	2	140
-5	1	-5
-5	2	150
48000	1	260
40000	1	-5
-5	2	-5
15000	2	200
-5	1	-5
-5	1	-5
21000	1	160
-4	2	145
24000	1	215
-5	1	170
3000	1	155
-5	1	-5
-5	1	-5
-5	1	175
15000	1	230
-4	1	160
17000	2	115
30000	1	165
-2	1	175
25000	1	170
-5	2	160
37500	2	125
55000	2	140
66000	1	-5
62000	1	165
80000	1	148
43000	2	120
-5	2	-5
40000	1	170
-5	1	-5
76000	1	230
50000	1	215
109	2	180
47000	1	175
-5	2	-5
65000	1	175
-5	2	140
-4	2	130
-5	2	135
-4	2	140
-1	2	154
10000	2	186
-4	1	165
41000	2	120
36000	1	173
40000	1	165
24000	2	165
21000	2	-5
9000	1	168
37000	2	118
27000	2	133
58000	1	-5
35000	1	185
66000	2	150
-5	2	-5
26000	1	125
30000	1	235
-5	2	135
-4	2	140
-5	1	-5
-4	2	140
146002	1	205
55000	1	165
-4	2	110
146002	2	125
65000	2	155
50000	2	130
-5	1	220
15000	1	-5
70000	2	110
-5	1	-5
-2	2	124
21600	1	200
20000	2	153
-4	2	180
-4	2	140
60000	2	150
19000	1	180
25000	2	135
-5	2	-5
38000	2	140
82000	1	210
2000	2	145
27000	2	-2
-4	1	153
146002	1	231
40000	1	180
-4	2	170
30000	2	130
-4	2	190
37000	1	185
36000	1	145
26000	1	165
40000	2	260
-5	2	-5
8000	1	205
-4	2	140
-5	1	187
146002	2	134
16000	1	210
25000	2	115
-2	2	-2
-5	1	-5
-4	2	130
146002	2	122
45000	2	-5
-2	2	105
-5	1	200
18000	2	192
45000	1	172
25000	1	156
-5	1	-5
-5	2	-5
26000	2	165
18000	1	-5
-4	1	-5
-1	1	135
4000	2	118
26000	1	190
90000	1	180
20000	1	-5
-5	2	190
16000	2	130
-5	1	160
-5	2	185
40000	1	205
60000	2	140
-5	2	180
60000	1	235
-1	2	-1
5000	2	160
47000	2	125
20000	2	115
-4	2	135
-4	1	115
-5	2	-5
60000	1	155
-5	2	110
20000	2	150
-5	1	-5
50000	2	110
-4	2	105
-4	1	180
146002	1	155
30000	2	100
-5	2	-5
12000	1	190
53000	2	120
6000	2	173
50000	2	110
49000	2	210
-5	1	-5
65100	1	180
-5	2	-1
40000	1	160
40000	2	230
30000	2	115
8000	2	118
53600	2	125
36000	2	160
72000	2	145
-4	1	178
-5	1	-5
-5	1	220
65000	2	140
-4	1	240
-5	2	-5
8500	1	140
-4	1	145
-5	2	110
0	2	240
-5	1	-5
-5	2	155
-5	2	116
-4	2	155
-4	2	125
-4	2	-5
-5	2	130
-4	1	305
-5	2	-5
65000	2	120
27000	1	150
-2	1	170
-1	1	240
-4	1	190
-5	1	-5
146002	2	145
45000	1	240
70000	1	165
-2	2	140
-5	2	125
17000	2	118
57000	2	150
-1	1	-5
42000	2	-5
40000	1	140
38000	2	120
10000	1	180
-5	1	-5
7000	1	175
55000	1	264
6200	1	180
146002	1	140
75000	1	145
146002	2	115
83000	1	180
36000	1	-5
-5	1	-5
25000	2	125
74000	2	138
-5	2	-5
-2	2	220
146002	1	205
48000	2	113
-2	2	246
60000	1	235
25000	1	-5
-4	2	232
45000	2	130
-5	1	-5
33000	2	125
80000	2	135
16000	1	205
-4	1	200
20000	1	215
-4	1	186
-5	1	-5
-2	1	170
90000	2	190
25000	1	200
-4	1	130
-2	1	197
61000	1	155
-4	2	175
48000	1	180
22623	2	105
29000	1	200
45000	1	130
-4	1	185
-5	1	165
-5	1	-5
-5	1	165
-5	2	-5
-4	1	195
64000	1	150
146002	1	168
20000	2	123
27000	2	230
-5	2	215
65000	2	115
15000	1	230
-4	1	205
-4	1	237
-2	1	205
21000	2	190
-1	1	173
31000	1	170
16000	1	160
5000	2	135
-2	1	150
24000	2	132
-1	1	-5
-4	1	175
-2	1	134
-4	2	240
48000	2	148
-4	1	172
-4	2	140
-5	2	-5
9000	1	150
-2	2	120
-2	1	177
-2	2	-2
5000	2	155
25500	1	195
-2	2	-5
-5	1	-5
-4	2	120
35000	1	170
-4	2	232
13000	2	200
26000	2	135
2000	2	156
-5	1	183
-4	1	280
-2	2	215
-5	2	-5
-1	1	170
-4	1	-5
-5	2	-5
27000	1	-5
20000	2	150
-4	2	109
35000	1	150
-5	1	-5
47000	2	130
-4	1	250
-1	1	234
-5	2	140
80000	1	150
45000	2	138
-5	2	125
-5	2	115
-5	1	160
-5	1	-5
-5	2	-5
27500	1	150
33000	2	140
-5	2	175
43000	2	150
36000	1	154
-2	1	165
53000	2	130
-5	2	211
-5	1	-5
75000	1	180
33000	2	135
75000	2	135
15000	1	165
1000	1	250
32000	1	180
10000	2	125
-4	1	198
-2	2	150
-4	2	158
-4	2	130
-2	2	160
-4	2	130
-4	2	310
15000	2	107
-2	2	133
-4	1	190
-4	2	135
52000	1	240
46000	2	101
-5	1	-5
-4	1	160
50000	1	-5
84000	1	165
-5	2	110
-5	1	140
75000	2	110
55000	1	120
20000	2	170
28500	2	182
-5	2	120
-5	2	140
-5	1	134
35000	2	120
-2	1	164
9000	1	170
76000	1	210
-4	2	150
-2	2	160
-4	1	160
2000	1	155
27000	1	220
-4	2	-5
-4	2	-5
-5	2	-5
146002	1	200
-5	1	-5
-5	1	-5
-2	2	-5
-5	2	-5
146002	1	138
-5	1	140
-4	1	150
60000	2	140
27000	2	123
82000	2	132
35000	2	135
53000	1	185
30000	2	135
146002	2	115
22000	1	180
60000	2	120
20000	2	113
45000	2	100
30000	2	130
70000	1	235
57000	2	-5
25000	1	-5
64000	1	160
12000	1	150
80000	2	110
55000	1	160
48000	1	230
47000	1	175
-4	1	-1
45000	2	125
-5	2	-5
146002	1	190
-5	1	-5
22000	2	140
-5	1	160
65000	1	200
500	1	-5
25000	2	175
-5	1	-5
35000	2	135
-5	1	-5
-5	2	-5
-4	1	150
-5	1	-5
-5	1	-5
-5	2	-5
20000	2	138
45000	1	185
9800	1	190
-5	1	165
146002	1	145
40000	2	134
46000	2	140
30000	1	200
35000	2	123
35000	1	165
-5	1	-5
50000	1	-5
-4	2	180
41000	1	190
30000	1	-5
-5	2	100
-4	1	170
-2	1	169
20000	2	-5
-2	1	160
22000	1	160
-4	2	156
26000	1	180
32000	2	185
4800	2	185
-4	1	200
2000	1	145
-5	2	143
3000	1	165
-4	1	-2
-4	2	-1
-5	1	-5
340	1	170
40000	1	174
-4	2	170
-4	1	170
47000	1	170
0	1	275
2662	2	185
-5	1	-5
9000	1	145
45000	2	140
-2	1	245
-5	2	-5
-2	1	200
65000	2	113
40000	1	190
15000	2	145
-5	1	145
16000	1	180
62000	1	160
50000	1	165
-2	1	150
146002	1	200
-5	1	-5
35000	1	165
-4	2	105
39000	1	175
40000	1	160
80000	2	115
-5	2	-5
-4	2	135
-5	1	-5
-1	2	-5
-4	2	145
7000	1	155
-5	2	115
1500	2	130
23000	1	160
50000	1	155
-4	1	260
-4	2	150
29000	2	175
-5	1	-5
5000	2	150
-5	2	-5
-5	2	-5
42000	1	205
18000	1	188
57000	1	140
40000	1	-5
30000	1	155
-2	1	122
40000	2	98
700	2	135
-4	1	180
60000	2	165
35500	2	180
32000	1	265
75000	2	140
-4	1	-5
-5	1	195
-5	2	-5
5000	2	150
68000	2	125
50000	1	200
-4	1	174
85000	1	165
-5	1	-5
66000	1	175
70000	2	175
-5	1	145
28000	1	205
-4	2	135
60428	1	185
6000	1	-5
146002	1	145
-5	1	153
42000	2	150
22000	1	190
-2	2	160
-5	1	-5
5500	1	280
-5	2	130
49000	2	111
38000	1	220
-2	1	165
-5	1	-5
-5	1	-5
-4	1	200
-5	2	-5
42000	2	-5
80000	1	180
65000	1	187
90000	2	135
40000	2	122
20000	2	140
-4	2	-5
-4	1	155
42000	2	265
35000	2	120
-2	2	120
57500	2	119
30000	2	130
-5	2	-5
-5	2	-5
28000	1	175
21000	2	208
32000	1	180
-4	1	221
34000	2	220
25000	1	135
5000	2	220
40000	2	160
30000	1	300
-4	2	-5
-4	2	140
-4	2	133
-5	2	125
-5	2	-5
30000	1	195
-5	2	-5
-2	2	-5
73000	1	150
146002	1	155
-5	2	-5
49000	2	133
78000	1	-5
-5	2	-5
38000	1	320
30000	1	160
24000	1	170
37500	2	125
36000	2	190
-5	1	-1
-4	2	135
-5	1	-5
44000	1	145
23400	2	180
25000	1	145
43000	1	150
30000	1	150
-5	2	130
-5	2	121
35000	2	135
50400	2	115
60000	2	110
31000	1	210
26000	1	125
60000	1	165
35000	2	143
10000	1	-5
40000	1	185
-5	1	-5
146002	1	195
47000	1	170
-2	2	215
-5	2	-5
36000	2	155
-5	1	-5
-5	2	-5
48000	1	210
26000	1	235
32481	2	135
-4	1	215
31000	1	182
-2	1	150
19200	2	120
45000	2	170
-5	1	-5
-4	1	190
-1	1	260
24000	2	145
-2	2	120
19200	2	100
3400	2	110
-4	2	140
-5	2	105
35000	1	130
-5	2	-5
25000	2	106
5000	2	-5
-4	1	167
-5	1	180
-4	1	170
-4	1	-5
-4	2	-5
900	2	170
3000	1	180
-4	1	165
30000	1	180
54000	2	-5
-5	1	-5
-5	1	160
33000	1	240
-4	1	210
-5	1	-5
-4	1	196
146002	2	176
62000	2	145
48000	2	125
40000	2	125
38000	2	170
-4	2	167
28000	2	98
-5	1	-5
30000	1	183
-4	2	170
-5	2	145
64000	1	190
50000	2	98
-5	2	176
-4	2	179
-2	1	175
48000	1	135
11000	2	135
-2	2	160
0	2	130
80000	2	120
75000	1	-5
75000	2	135
45000	2	140
146002	1	165
3000	1	220
5280	2	125
-5	2	-5
61000	2	170
40000	1	175
70000	2	120
47000	1	185
15310	2	173
30000	1	150
33000	2	119
26000	2	165
62000	1	185
33000	1	205
61000	2	120
82000	1	155
55000	2	135
38000	2	125
70000	1	160
50110	2	135
30000	2	125
